"","oracle_acc","edge_prob","hc_lower_shd_mean","hc_upper_shd_mean","hc_lower_sid_mean","hc_upper_sid_mean","hc_lower_shd_sd","hc_upper_shd_sd","hc_lower_sid_sd","hc_upper_sid_sd","pc_lower_shd_mean","pc_upper_shd_mean","pc_lower_sid_mean","pc_upper_sid_mean","pc_lower_shd_sd","pc_upper_shd_sd","pc_lower_sid_sd","pc_upper_sid_sd","human_shd_mean","human_sid_mean","human_shd_sd","human_sid_sd"
"35",0.8,0.4,19.08,19.78,57.92,67.29,0.325880315143428,0.311911668407722,1.18455378804328,1.29507965512987,25.037037037037,25.0987654320988,51.75,52.01,0.386678018848539,0.385943184214793,1.5032388029238,1.50457547170079,6.33,27.11,0.243316728366609,1.26976455305778
"36",0.9,0.4,19.08,19.78,57.92,67.29,0.325880315143428,0.311911668407722,1.18455378804328,1.29507965512987,25.037037037037,25.0987654320988,51.75,52.01,0.386678018848539,0.385943184214793,1.5032388029238,1.50457547170079,3.85,16.89,0.218523511898663,1.16860401913366
"37",0.1,0.5,22.94,23.66,65.83,74.43,0.35328758994921,0.355112729291771,0.933772083021496,1.01992820107767,28.7049180327869,28.7868852459016,58.85,59.26,0.456491886876643,0.448503738370638,1.50600443090922,1.47222673689504,19.79,66.02,0.360777779333215,1.23050289464811
"38",0.2,0.5,22.94,23.66,65.83,74.43,0.35328758994921,0.355112729291771,0.933772083021496,1.01992820107767,28.7049180327869,28.7868852459016,58.85,59.26,0.456491886876643,0.448503738370638,1.50600443090922,1.47222673689504,18.73,64.48,0.353868947949989,1.13524615761686
"39",0.3,0.5,22.94,23.66,65.83,74.43,0.35328758994921,0.355112729291771,0.933772083021496,1.01992820107767,28.7049180327869,28.7868852459016,58.85,59.26,0.456491886876643,0.448503738370638,1.50600443090922,1.47222673689504,16.87,62.33,0.360318321667512,1.25947359534598
"40",0.4,0.5,22.94,23.66,65.83,74.43,0.35328758994921,0.355112729291771,0.933772083021496,1.01992820107767,28.7049180327869,28.7868852459016,58.85,59.26,0.456491886876643,0.448503738370638,1.50600443090922,1.47222673689504,15.34,56.69,0.439057760632604,1.40875294089661
"41",0.5,0.5,22.94,23.66,65.83,74.43,0.35328758994921,0.355112729291771,0.933772083021496,1.01992820107767,28.7049180327869,28.7868852459016,58.85,59.26,0.456491886876643,0.448503738370638,1.50600443090922,1.47222673689504,12.9,51.74,0.342451058215225,1.44562174244241
"42",0.6,0.5,22.94,23.66,65.83,74.43,0.35328758994921,0.355112729291771,0.933772083021496,1.01992820107767,28.7049180327869,28.7868852459016,58.85,59.26,0.456491886876643,0.448503738370638,1.50600443090922,1.47222673689504,11.63,47.82,0.317074697250291,1.51573431215715
"43",0.7,0.5,22.94,23.66,65.83,74.43,0.35328758994921,0.355112729291771,0.933772083021496,1.01992820107767,28.7049180327869,28.7868852459016,58.85,59.26,0.456491886876643,0.448503738370638,1.50600443090922,1.47222673689504,8.88,40.25,0.268659222394798,1.44902440185516
"44",0.8,0.5,22.94,23.66,65.83,74.43,0.35328758994921,0.355112729291771,0.933772083021496,1.01992820107767,28.7049180327869,28.7868852459016,58.85,59.26,0.456491886876643,0.448503738370638,1.50600443090922,1.47222673689504,7.07,32.8,0.280783535734191,1.48752387299407
